Question,Answer,Class,
 first distributed blockchain implementation,bitcoin,bitcoin,
Hash identifying each block in the Blockchain is generated using what cryptographic algorithm,SHA256,asymmetric,
what is asymmetric encryption Algorithm,RSA,,
RSA algorithm? How secure is this algorithm?,"Brute force: It involves all possible secret keys
Mathematical attacks: In mathematical attack, we are using different techniques, which is similar in effort to factor the product of two primes",RSA,
Explain the significance of blind signature and how it is useful,"It is a form of digital signature in which the content of a message is disguised (blinded) before it is signed. The resulting blind signature can be publicly verified against the original, unblinded message in the manner of a regular digital signature.

Blind signatures are typically employed in privacy-related protocols where the signer and message author are different parties. Examples include cryptographic election systems and digital cash schemes.",signature,
What is Secret Sharing? Does it have any benefit in Blockchain technology?,"It is a well-known fact that security matters a lot in digital transactions. Secret sharing is an approach meant for same. In Blockchain technology it is an approach that divides secret or personal information into different units and sent them to the users on the network.

The original information can only be combined when a participant to whom a share of the secret is allocated agree to combine them together with others. There are several security-related benefits it can offer in Blockchain technology.",secret,
what are off-chain transactions?,"off-chain transaction is the movement of value outside of the blockchain. While an on-chain transaction – usually referred to as simply ‘a transaction’ – modifies the blockchain and depends on the blockchain to determine its validity an off-chain transaction relies on other methods to record and validate the transaction.
",off chain,
What exactly do you know about executive accounting? Does Blockchain support the same?,"Executive accounting is nothing but a special type of accounting which is designed exclusively for a business that offers services to the people. There is no strict upper limit on services and a business can manage any through the executive accounting. Blockchain has algorithms that are specially meant to handle executive accounting. In fact, it cut down many problems that are associated with the same.",accounting,
What are the threats to the information you are familiar with?,"There are lots of threats to information in the present scenario. Due to increase in online transactions over the internet, many hackers have become active and are adopting new approaches to hack information and servers that contain financial information.

The major threat is software attack, identity theft, information extortion, as well as sabotage. In addition to this, Trojan horses, worms, and viruses are other trouble creators.
",threats,
How will you handle the risk management when it comes to securing the transactions records,"It is basically a process of finding the threats and all the vulnerabilities to the financial records of an organization. The best thing that can be done with this approach is to take the right countermeasures against them immediately.

Another approach is to pay attention to a backup plan. Based on the value of information, more approaches such as buying new risk management software can simply be considered. The prime risk to information is from black-hat hackers.
",risk management,
What is 51% attack,"51% Attack refers to a situation where a group of miners who hold more than 50% of the Network Hash Rate could manipulate with the New transactions (Stopping the transactions to proceed or gaining conformations) or able to reverse the transactions that were recently confirmed and kind of doing Double spend. It is Highly unlikely to be able to do that today but it is possible.
",attack,
"What challenges information leak can impose on an organization?
","An information leak can cut down the reputation of an organization up to an excellent extent. In addition to this, it can be the reason for organization bearing huge losses. Many organizations who fail to implement security protocols to keep their data secure have already lost the trust of their customers and are struggling very hard to get the same reputation again. The overall profits of any organization can reduce up to 80% if no attention is paid to the online transaction security.
",leak,
What is information processing according to you? What are the key challenges that are associated with it,"The information is often shared on a network. Before actually transmitting it over a network, it needs to be changed into formats that can fit the standards of the channels (the channel is a link between the sender and a receiver).

The work done to convert the information at both sender and receiver end is generally regarded as information processing. The biggest challenge to information processing is securing it during that time. Another challenge is processing bulk information can impose a limit on performance.",information processiong,
Name organizations that can use Blockchain technology?,"There is no strict upper limit on the category of business who can consider this approach. The fact is almost all the businesses are engaged in online or financial transactions that they need to make to run the processes smoothly. Large-scale corporations, financial institutions, private businesses, government departments and even defense organizations can trust this technology very easily.",usage,
What are the core requirements for a Business Blockchain?,"A business blockchain requires a shared ledger, smart contract functionality, privacy and trust.",requirements,
What are the key principles in Blockchain that are helpful in eliminating the security threats that needs to be followed,"Yes, there are a few principles that need to be followed with respect to time. They are:
1.Auditing
2.Securing applications
3. Securing testing and similar approaches
4. Database security
5. Continuity planning
6. Digital workforce training

All these principles are basic and are easy to implement. They are helpful in making the transactions records useful.",Key principles,
 What is a security policy?,"A security policy defines what exactly needs to be secured on a system. It bounds a network user under some core protocols that they all must agree and follow to enhance the overall security. When it comes to information or financial records of an organization, multiple security policies are implemented than just one.
",security,
 Is the Blockchain Different from Banking Ledgers?,"Banks and accounting systems use ledgers to track and timestamp transactions. The difference is that the blockchain is completely decentralized and an open source. This means that people do not have to rely on or trust the central bank to keep track of the transactions. The peer-to-peer blockchain technology can keep track of all the transactions without the fear of having them erased or lost.

Furthermore, the blockchain, because of its open-source nature, is more versatile and programmable than central banking ledgers. If programmers need new functionality on the blockchain, they can simply innovate on top of already existing software through consensus. This is difficult for central banks because of all of their regulations and central points of failure.
",banking,
Can you list some of the popular consensus algorithms? Why we need different consensus mechanisms,"Some of the popular consensus algorithms are:
PBFT (Practical Byzantine Fault Tolerance)
Proof-of-work
Proof-of-stake
Delegated proof-of-stake
Proof-of-elapsed time
Now, the possible reasons why we need consensus mechanism more than “proof-of-work” are”

Different business needs
Different use cases
Also:
Cryptography/Strength of Algorithm
Regulation requirements
Implementation
Performance
Tokenization
Security
Privacy",algorithms,
Is there any network specific conditions for using Blockchain technology in an organization,"There is no specific condition of using it. However, the network must be a peer-to-peer network under the concerned protocols.  It validates the new block simply and helps organizations to keep up the pace in this matter without investing in third-party applications.
",specific,
 Name the steps that are involved in the Blockchain project implementation?,"Well, there are total six steps involved in this process and they are:

Requirement identification
Screen ideas consideration
Project development for Blockchain
Feasible study on the security
Implementation
Controlling and monitoring the project",life cycle,
"Explain a real-life use-case where Blockchain in Stock Market
Is being used?","

Depositories and transfer agents are a single point of failure
Registration, transfer, distribution, scrutineering, courier fees
The more widely held, the higher the administration costs
Limited Transparency

Information asymmetry leads to market advantages
Forged securities still a concern
Counterparty risk is systemic
How Blockchain solves the problem

The centralized hub can be removed and the blockchain can be used to directly transfer share ownership between investors.
Blockchain stock-top blockchain interview-edureka

A ledger updated in minutes could save millions in collateral and settlement costs, while also automating banks’ creaky and expensive back office systems.
",Use-case,
 Problems in Present Stock Market?,Centralized and expensive,stock,
"Is there any network specific conditions for using Blockchain technology in an organization?
","No, there is no such specific condition on using it. However, the network must be a peer-to-peer network under the worried protocols. It really validates the new block simply and helps enterprises to keep up the pace in this matter without capitalizing in third-party applications.",network,
What exactly do you know about the security of a block?,"A block cannot be customized by all the users on a network. Therefore it provides an excellent level of security. Additionally, every block is secured using cryptography that is another vote in this matter. Thus one needs not to worry about the security of data that is present in a block.
",security,
What is Blockchain Durability and robustness?,"Blockchain technology is like the internet in that it has a built-in robustness. By storing blocks of information that are identical across its network, the blockchain cannot:
1. Be controlled by any single entity.
2. Has no single point of failure.
Bitcoin was invented in 2008. Since that time, the Bitcoin blockchain has operated without significant disruption. (To date, any of problems associated with Bitcoin have been due to hacking or mismanagement. In other words, these problems come from bad intention and human error, not flaws in the underlying concepts.)
The internet itself has proven to be durable for almost 30 years. It’s a track record that bodes well for blockchain technology as it continues to be developed
",robust,
"What is Transparent and incorruptible in blockchain?
","The blockchain network lives in a state of consensus, one that automatically checks in with itself every ten minutes. A kind of self-auditing ecosystem of a digital value, the network reconciles every transaction that happens in ten-minute intervals. Each group of these transactions is referred to as a “block”. Two important properties result from this:
Transparency data is embedded within the network as a whole, by definition it is public. It cannot be corrupted altering any unit of information on the blockchain would mean using a huge amount of computing power to override the entire network.",transperent,
How does Bitcoin use Blockchain?,"A transaction is a transfer of value between Bitcoin wallets that gets included in the blockchain. Bitcoin wallets keep a secret piece of data called a private key or seed, which is used to sign transactions, providing a mathematical proof that they have come from the owner of the wallet.
",bitcoin,
 What are the business benefits of blockchain?,"Blockchain consensus mechanisms provide the benefits of a consolidated, consistent dataset with reduced errors, near-real-time reference data, and the flexibility for participants to change the descriptions of the assets they own.

Because no one participating member owns the source of origin for information contained in the shared ledger, blockchain technologies lead to increased trust and integrity in the flow of transaction information among the participating members.

Immutability mechanisms of blockchain technologies lead to lowered cost of audit and regulatory compliance with improved transparency. And because contracts being executed on business networks using blockchain technologies are smart, automated, and final, businesses benefit from increased speed of execution, reduced costs, and less risk, all of which enables businesses to build new revenue streams to interact with clients.",benefits,
"What are blockchain requirements?
","A shared, permissioned ledger is the append-only system of record (SOR) and single source of truth. It is visible to all participating members of the business network.
A consensus protocol agreed to by all participating members of the business network ensures that the ledger is updated only with network-verified transactions.
Cryptography ensures tamper-proof security, authentication, and integrity of transactions.
Smart contracts encapsulate participant terms of agreements for the business that takes place on the network; they are stored on the validating nodes in the blockchain and triggered by transactions.
",requirements,
what is Public Blockchain,"A Public blockchain is a kind of blockchain which is ""for the people, by the people, and of the people."" There is no in-charge it means anyone can read, write, and audit the blockchain. It is an open-source, distributed, and decentralizes public ledger so anyone can review anything on a public blockchain. They are considered to be Permissionless blockchain.


",public,
what is Private Blockchain,"A Private blockchain is a private property of an individual or an organization. It is controlled by a single organization that determines who can read it, submit the transaction to it, and who can participate in the consensus process. They are considered to be permissioned blockchain",private,
what is Consortium Blockchain or Federated Blockchain,"In this blockchain, the consensus process is controlled by a pre-selected group, i.e., group of companies or representative individuals. These pre-selected group is coming together and making decisions for the best benefit of the whole network. Such groups are also called consortiums or a federation that's why the name consortium or federated blockchain.
",consortium,
What are the types of records that are present in the blockchain database?,"There are two types of records in a blockchain database.

Transactional Records
Block Records
Both the records can easily be accessed and can integrate with each other without following any complex algorithm.
",records,
List the key features of blockchain?,"The essential properties of a blockchain are:

Decentralized Systems
Distributed ledger
Safer & Secure Ecosystem
Fast
Low Transaction Fees
Fault-Tolerant
Minting
",features,
Name some popular platforms for developing blockchain applications,"Some of the popular platforms for developing blockchain are:

Ethereum
Hyperledger Sawtooth
Quorum
Ripple
R3 Corda
Qtum
IOTA
EOS",platforms,
What do you mean by blocks in the blockchain technology ,"A Blockchain consists of a list of records(some or all of the recent transaction). Such records are stored in blocks. Each time a block gets completed, a new block is generated. The block linked with other blocks constitutes a chain of blocks called Blockchain. Each block, after added into the blockchain, will be stored as a permanent database. We cannot delete or reverse any block from the blockchain.",,
Every block of Blockchain consist of what elements,"Every block must include these three things:

A hash pointer to the previous block
Timestamp
List of transactions",block data,
How can blocks be identified,"Blocks can be identified by their block height and block header hash.

",block,
Can you modify the data in a block?,"No, it's not possible to modify the data in a block. In case any modification is required, you would have to erase the information from all other associated blocks too.
",tamper,
Can you remove a complete block from a network,"Yes, it is possible to remove a complete block from a network. There are times when only a specific portion of this online ledger is to be considered. There are default options and filters that can help us do this without making a lot of efforts.
",remove block,
"What type of records can be kept in the Blockchain? Is there any restriction on the same
","No, it is not possible to give restriction for keeping records in the blockchain approach. We can put any type of data on a blockchain such as Bank records, health records, images, Facebook messages, etc.

Some of the common types of records which can be kept in the blockchain are:

Records of medical transactions
Transaction processing
Identity management
Events related to organizations,
Management activities
Documentation",records,
" In what order are the blocks linked in the blockchain
","Reversed linked list.Blockchain always links each block in backward order. In other words, blockchain links each block with its previous block.",reverse linkedlist,
"What is Cryptocurrency?
","Cryptocurrency is a digital asset(currencies) which can be used to exchange value between parties. It uses strong cryptography to secure and verify the financial transactions as well as control the creation of new units of that currency. As we know, it is a digital currency, so it doesn't exist physically. Some popular cryptocurrencies are Bitcoin, Litecoin, Z-Cash, Monero, Dash, etc.

We know that the government prints the government currencies like fiat currency such as Dollar, Rupees, Yen or Yuan itself. It means there is a centralized institution exists which can create thousands or millions or billions more of that currency. Unlike government currencies like bitcoin, these type of currencies is created by the same mathematical formulas that make the cryptocurrency work. Thus, cryptocurrencies use decentralized control, which works through distributed ledger technology that serves as a public financial transaction database.
",cryptocurreny,
 What are the limitations of blockchain?,"The major limitations of blockchain are:

Lack of Technical Talent

Today, there are a lot of developers available who can do a lot of different things in every field. But in the blockchain technology, there are not so many developers available who have specialized expertise in blockchain technology. Hence, the lack of developers is a hindrance to developing anything on the blockchain.

Network Size

Blockchains require a vast network of users. Therefore it is not much resistant to the wrong action as well as it responds to attacks and grows stronger. The blockchain is a robust network with a widely distributed grid of nodes, which makes it more difficult to reap the full benefit.

Security Flaw

Bitcoin and other blockchains are associated with one considerable security flaw known as a ""51% attack."" This security flaw refers to a situation when a group of ""miners"" takes control of more than half of the blockchain network's computing power. If the miners somehow acquire sufficient computational power, then there is no centralized authority to prevent them from influencing the entire Bitcoin network. It means the attacker can block new transactions from taking place or being confirmed. They are also able to reverse the transactions that have already validated during that same period. Due to this, they could spend coins twice.

For this reason, Bitcoin mining pools are closely monitored by the community who ensure that no one gains such network influence.

Speed and cost of transactions

The first few years of the existence of blockchain, transactions cost are ""nearly free."" But as the network grows, it will NOT be the most cost-effective option of transferring money due to rising transaction costs in the network. From the end of 2016, it processes only seven transactions per second, and each transaction costs around 0.20$.

Consensus Mechanism

In the blockchain, we know that a block can be created in every 10 minutes. It is because every transaction made must ensure that every block in the blockchain network must reach a common consensus. Depending on the network size and the number of blocks or nodes involved in a blockchain, the back-and-forth communications involved to attain a consensus can consume a considerable amount of time and resources.",limitations,
what is proof of work,"Proof of Work(PoW) algorithm is used to confirm the transaction and creates a new block to the chain. In this algorithm, miners compete against each other to complete the transaction on the network. The process of competing against each other is called mining. It defines an expensive computer calculation. In this, a reward is given to the first miner who solves each blocks problem.",proof of work,
what is proof of stake,"In the case of PoS algorithm, a set of nodes decide to stake their own cryptocurrencies for the transaction validation. They are called 'stakers.' In proof of stake, the creator of a new block is chosen in a deterministic way, depending on its wealth, also defined as stake. It does not give any block reward, so miners take the transaction fees only. Proof-of-Stake can be several thousand times more cost-effective as compared to proof of work.",proof of stake,
How does the security of a block works?,"A blockchain is a chain of blocks that contain records of transactions. Block is the most secure part of a blockchain. The record of a blockchain is protected through a cryptographic hash algorithm. Each block is connected with all other blocks before and after it through a distinctive hash pointer which adds more security to the block. If the value within a block is modified, the hash value will also change. This hash is a security identifier which provides a reasonable level of security to the whole blockchain.

Ambitious hackers also need to know the hash key of the previous block to make changes to the block information. For those ambitious hackers, blockchains are decentralized and distributed across peer-to-peer networks that are continuously updated and keep syncing. Since these records are not contained in a central location, so blockchains don't have a single point of failure and cannot be changed from a single computer.",security,
What is the difference between public and private key?,"The private key is used to encrypt or lock a message or transaction which is sent on the blockchain network. The sender can send a message using the public key of the receiver. On the other hand, the receiver can decrypt the message or the transaction using his private key. By using the private and public key, the communication or transaction is kept safe and tamper-proof.
",keys,
Name the platforms that are actively developing Blockchain applications,"Blockchain technology was first used for financial transactions. But nowadays, its scope is increasing and applies in a variety of industries like e-commerce, data management, energy, gaming, e-governance, and many more. There are several commercial and open-source platforms available to provide the framework for creating applications that support a blockchain. Hyperledger and Ethereum are actively improving the blockchain ecosystem by creating advanced cross-industry blockchain technologies.

.",platforms,
what is hyperledger,"Hyperledger is an open-source collaboration that provides tools and techniques for developing an enterprise-grade blockchain solution. While Ethereum is an open-source and leading platform designed for developers, organizations, and business to build and deploy blockchain applications",hyperledger,
How does bitcoin use blockchain?,A transaction is a transfer of value between Bitcoin wallets that gets included in the blockchain. Bitcoin wallets keep a secret piece of data called a private key. The private key is used to sign transactions and provide mathematical proof that they have come from the owner of the wallet.,bitcoin,
"What is Consensus algorithm?
","The consensus algorithm is the method of gaining consensus on a change of data over the system or distributed network. Consensus algorithms are heavily used in blockchains as they enable the network of unknown nodes to reach consensus on the data that is being stored or shared through the blockchain.

",consensus,
What is the difference between private and public blockchain?,The basic difference between private and public blockchain is how they operate. The private blockchain is based on a closed ecosystem and hence is controlled in a certain way. Public blockchain are open to everyone.,difference,
 What’s is the difference between blockchain and centralized network?,"The main difference between a centralized network and blockchain is how they are controlled. The blockchain is completely decentralized and doesn’t require a central authority. Inadvertently, it also brings benefits to blockchain such as trust, transparency, immutability and so on.",authority,
Why is blockchain more trustworthy?,"The blockchain is trustworthy because of many reasons. The first reason is the security that blockchain offers. It is the most secure technology solution right now. Next, it is entirely decentralized. This removes the need for a centralized entity and the risks associated with it.

The last feature that makes blockchain more trustworthy is immutability. Data once stored cannot be changed.",trustworthy,
 How secure is blockchain? Have they even be hacked?,"The blockchain is comparatively secure when compared to other similar technologies right now. However, they are not completely secure as it is vulnerable to a 51% attack. A 51% attack is a way by which a group of miners or organization gains access to the more than 50% of the networking computer power. Once done, they can easily take control and alter transactions in the network which can lead to asset theft and data alteration.

Blockchain platforms are also prone to another form of human errors. The most prominent example is the ETC-ETH fork that happened because a coder deleted some ethereum smart contract code which leads to ETH lock. It became inaccessible which lead to a hard fork in the blockchain.

The 51% attack is theoretically possible but is hardly carried out in the real world as it would require huge computational processing power.",hack,
What is the difference between the standard ledger and a blockchain ledger,"The biggest difference between these two type of ledger is the decentralization that they have to offer. Blockchain ledger is decentralized which means that it offers unique capabilities such as trust, immutability, transparency, and security. Standard ledger does carry these features but is limited to certain extent.

As humans create, modify and monitor the standard ledger, there is always a chance of an error creeping in or worse a security breach. Blockchain ledger solves all the problems that standard ledger have by providing a decentralized version.",decentralization,
What is a Virtual Machine?,"Virtual Machine runs as a part of a node computer. It is a virtual state of a machine that mimics a real machine. It is imaginary and provides certain functionalities in a pre-defined state. Virtual machine also works and don’t have to rely on the host computer or machine. The key point here is abstraction which is used to provide an operating environment for an application or service to work.

All the blockchain have their virtual machine. They are designed and work differently. For example, VM used by Bitcoin and Ethereum are different. Ethereum virtual machine is also more advanced that of Bitcoin. It can stay on an Ethereum node and interact with smart contracts.",VM,
 Can RSA be attacked?,"Yes, hackers can attack RSA. However, being attacked is not equal to weak protection. It is just the methods that can be used to attack it and take a chance to break it. There are two ways, one can attack RSA, i.e., brutal force and mathematical attacks.",attack,
Will blockchain change the world,"The blockchain is going to revolutionize our daily life. It has the potential to change how we spend and transact. Also, it is already changing various sectors such as transport, education, business, and so on. As it allows a peer-to-peer network, it will become easier to do business without any geographical restrictions.

Healthcare, for example, will also benefit from it by providing a place to store information for seamless access by authorities and patients.",change,
"What is blockchain software?
","Blockchain software is like any other software. The first of its kind was Bitcoin, which was released as open source software, making it available to anyone to use or change. There are a wide variety of efforts across the blockchain ecosystem to improve upon Bitcoin’s original software. Ethereum has its own open source blockchain software. Some blockchain software is proprietary and not available to the public. ",database,
"What is a blockchain database?
","Historically, databases have incorporated a centralized client-server architecture, in which a sole authority controls the central server. This design means that data security, alteration, and deletion rests with a single point of failure. The decentralized architecture of blockchain databases emerged as a solution for many of the weaknesses of centralized database architecture. A blockchain network consists of a large number of distributed nodes––voluntary participants who must reach consensus and maintain a single transactional record together. ",work,
"How does a blockchain work?
","When a digital transaction occurs in a blockchain network, it is grouped together in a cryptographically-secure “block” with other transactions that have occurred in the same time frame. The block is then broadcast to the network. A blockchain network is comprised of nodes or participants who validate and relay transaction information. The block of transactions is verified by participants called miners, who use computing power to solve a cryptographic puzzle and validate the block of transactions. The first miner to solve and validate the block is rewarded. Each verified block is connected to the previously verified block, creating a chain of blocks. One important cryptographic underpinning of blockchains is the hash function. Hashing assigns a fixed value to a string that is inputted into the system. Blockchain hashing power results in a deterministic, quickly-computable, and preimage-resistant system. ",application,
"What is a blockchain application?
","Blockchain applications are comparable to conventional software applications, except they implement a decentralized architecture and cryptoeconomic systems to increase security, foster trust, tokenize assets, and design new network incentives. Here are over 90 Ethereum apps that are currently being used across the Ethereum blockchain ecosystem, from prediction markets to smart legal agreements. ",revolution,
"What is the blockchain revolution?
","Blockchain is considered a disruptive technology because of its ability to safeguard personal information, reduce intermediaries, unlock digital assets, and potentially open up the global economy to millions more participants. Sometimes called the Trust Machine, blockchain technology is bringing transparency and security to digital networks across countless industries. In many ways, the blockchain revolution can be considered a revolution in trust. ",defi,
"What is decentralized finance (DeFi)?
","Decentralized finance—often called DeFi or open finance—refers to the economic paradigm shift enabled by decentralized technologies, particularly blockchain networks. DeFi signals the shift from a historically centralized and closed financial system toward a universally accessible economy that is based on open protocols that are interoperable, programmable, and composable. From streamlined and secure payment networks to automated loans to USD-pegged stablecoins, decentralized finance has emerged as one of the most active sectors in the blockchain space. Some of the defining factors of a DeFi application include permissionless architecture (anyone can participate), transparent and auditable code, and interoperability with other DeFi products. DeFi Score offers a single, consistently comparable value for measuring DeFi platform risk. ",,
"What is block time?
","Depending upon how a particular blockchain protocol was developed, the time that it takes for a block to be added to the canonical chain can vary widely. A blockchain is a linear construct in that every new block occurs at a later time than the one that preceded it and cannot be undone. A blockchain’s linearity serves as an ideal form of validation. According to ethstats.io as of July 2019, for the Ethereum blockchain, new blocks are added approximately every 14 seconds.",block time,
"What is distributed ledger technology?
","Distributed ledger technology is a broad category that encompasses blockchain technology. A distributed ledger is just what its name implies. Instead of accounting for data through one centralized computer, distributed ledger technology uses many participants in a network to maintain a digital record. Blockchain technology supplements a distributed ledger with cryptographic functions and a consensus algorithm to enable greater incentive design, security, accountability, cooperation, and trust. 

",distributed technology,
"What is a blockchain wallet?
","A blockchain wallet contains the public key for others to transfer cryptocurrency to your address and the private key so you can securely access your own digital assets. A blockchain wallet usually accompanies node hosting and stores cryptocurrencies on your computer. The safest place for storing digital assets is offline, what is often called “cold storage.”",wallet,
"What are zk-SNARKs?
","zk-SNARK is an acryonym for zero-knowledge succinct non-interactive argument of knowledge, a cryptographic proof system that enables a user to verify a transaction without revealing the actual data of the transaction, and without interacting with the user who published the transaction. In the context of a blockchain, zk-SNARKs allow users to maintain private transactions, while still validating the transactions according to the network’s consensus algorithm",zero knowledge,
"What is Ethereum?
"," In 2015, the Ethereum blockchain launched as a much more versatile version of the Bitcoin payment system’s underlying blockchain technology. Ethereum is a decentralized, open source, and distributed computing platform that enables the creation of smart contracts and decentralized applications, also known as dapps. Smart contracts are computer protocols that facilitate, verify, or enforce the negotiation and performance of some sort of agreement. Ethereum brought the first practical solution for smart contracts to the blockchain space. ",ethereum,
"How does Ethereum work?
","Like the Bitcoin blockchain, Ethereum utilizes nodes that are operated voluntarily in order to verify transactions in the network. Nodes can contain the entirety or a segment of Ethereum transaction history, the most recent information about the state of smart contracts, the balances of accounts, and more. At the foundation of Ethereum is the Ethereum Virtual Machine (EVM), which is the executable and trustless environment for smart contracts: computer protocols that facilitate, verify, and enforce the negotiation and performance of some sort of digital agreement. The EVM executes a contract with whatever rules the developer initially programmed, such as sending money from Alice to Bob. The EVM executes these programs through a bytecode language. Ethereum developers are able to use Ethereum programming languages such as Solidity and others to write smart contracts and build decentralized applications. ",block,
"What is an Ethereum block?
",A “block” in the Ethereum blockchain refers to a block of transactions that has been broadcast to the network. The Ethereum mainnet currently uses the Proof of Work consensus algorithm to verify blocks of transactions.,smart contract,
"What is an Ethereum smart contract?

","Ethereum pioneered practical smart contracts for the blockchain ecosystem. A smart contract is essentially a program coded for a specific purpose. Ethereum-based smart contracts have numerous applications. In banking and finance, smart contracts can help automate claims processing and enable real-time enforcement of regulatory control limits. In supply chain management, smart contracts are used to enforce asset tracking processes, as well as automate compliance and reporting. Smart contracts have limitless formats in order to support a wide range of industries.",client,
"What is an Ethereum client?
","An Ethereum client is a software application that implements the technical specification defined in the Ethereum Yellow Paper or the EEA specification (for enterprise applications) and refers to any node that is able to parse and verify the blockchain, its smart contracts, or anything related. Open standards and interoperability enable Ethereum clients to communicate over the peer-to-peer network with other Ethereum clients, meaning that they all “speak” the same protocol and follow the same rules. Popular Ethereum clients include Quorum by J.P. Morgan, Parity, Geth, and Hyperledger Besu, which was built by the protocol engineering team at PegaSys. Hyperledger Besu, which was developed for enterprise use cases, includes a robust set of permissioning features and operates across both public and private chains. PegaSys Plus, a commercial distribution of Besu, has additional plugin features and support, including encryption at rest, advanced monitoring, and event streaming",ether ,
